File BR50042, IAD, Is already downloaded: Skipping
File BR50240, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50239, YES, Downloaded without issue through link1
File BR50241, YES, Downloaded without issue through link1
File BR50243, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50242, YES, Downloaded without issue through link1
File BR50245, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50246, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50247, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50248, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50244, no, Link 1 Error: ('<urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>',). Link 2 Error: No data found: Skipping
File BR50250, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50251, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50252, YES, Downloaded without issue through link1
File BR50253, no, Link 1 Error: <urlopen error [Errno 11001] getaddrinfo failed>, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50254, no, Link 1 Error: ('<urlopen error [Errno 11001] getaddrinfo failed>',). Link 2 Error: No data found: Skipping
File BR50255, no, Link 1 Error: HTTP Error 406: Not Acceptable, Link 2 Error: HTTP Error 406: Not Acceptable
File BR50256, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50257, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50258, no, Link 1 Error: ('1: No data found: Skipping',). Link 2 Error: No data found: Skipping
File BR50259, no, Link 1 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>, Link 2 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>
File BR50260, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50261, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50262, YES, Downloaded without issue through link1
File BR50263, YES, Downloaded without issue through link1
File BR50264, no, Link 1 Error: ('<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>',). Link 2 Error: No data found: Skipping
File BR50265, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50266, no, Link 1 Error: ('3: Not a PDF: Deleting',). Link 2 Error: No data found: Skipping
File BR50267, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50268, no, Link 1 Error: ("unknown url type: 'www.akkok.com.tr/en/Sustainability/Documents/Akk%C3%B6k_Surdurulebilirlik_Rapor2016en.pdf'",). Link 2 Error: No data found: Skipping
